iteration,games,samples,avg_length,policy_loss,value_loss,total_loss,seconds,device
0,4,770,192.5,5.243772447109222,0.35160675272345543,5.595379199832678,12.784116506576538,cpu
1,4,1749,244.75,5.1250274777412415,0.2690346781164408,5.394062155857682,6.899751424789429,cpu
2,4,2730,245.25,4.974932909011841,0.2629902232438326,5.237923132255673,8.852884531021118,cpu
3,4,3730,250.0,4.702942371368408,0.2012493507936597,4.904191722162068,8.991241931915283,cpu
4,4,4730,250.0,4.394456148147583,0.14425568841397762,4.538711836561561,8.38164472579956,cpu
5,4,5730,250.0,4.084192544221878,0.1070786565542221,4.1912712007761,17.70986032485962,cpu
6,4,6730,250.0,3.837373971939087,0.08891239715740085,3.9262863690964878,14.692654371261597,cpu
7,4,7730,250.0,3.4402773678302765,0.08162788394838572,3.521905251778662,53.844083309173584,cpu
8,4,8730,250.0,3.237554669380188,0.07778831082396209,3.31534298020415,51.101954221725464,cpu
9,4,9730,250.0,3.0521696507930756,0.06384252151474357,3.116012172307819,71.77378106117249,cpu
10,4,10730,250.0,2.9455718994140625,0.05718563310801983,3.0027575325220823,70.57770204544067,cpu
11,4,11730,250.0,2.6928639113903046,0.06531739642377943,2.758181307814084,87.05857133865356,cpu
12,4,12730,250.0,2.6237670183181763,0.04290186378057115,2.6666688820987474,77.89660000801086,cpu
13,4,13730,250.0,2.498081237077713,0.042823598836548626,2.5409048359142616,84.48645162582397,cpu
14,4,14730,250.0,2.390377014875412,0.03416179632768035,2.4245388112030923,85.2644739151001,cpu
15,4,15730,250.0,2.2176282107830048,0.041168417083099484,2.2587966278661042,77.62133264541626,cpu
16,4,16730,250.0,2.1879030913114548,0.033285500248894095,2.221188591560349,82.79043626785278,cpu
17,4,17730,250.0,2.187212347984314,0.036035987694049254,2.223248335678363,82.34934091567993,cpu
18,4,18730,250.0,2.0446862876415253,0.028707668883726,2.0733939565252513,85.03492617607117,cpu
19,4,19730,250.0,2.002863273024559,0.04602408979553729,2.0488873628200963,86.84267258644104,cpu
